Excluded_Feature,MSE,RMSE,MAE,R2_Score
in_spotify_playlists,0.009588081803958263,0.09791875103348828,0.047069700735643316,0.11140823185302895
in_apple_playlists,0.008289668178149441,0.09104761489544601,0.04085912445184565,0.23174092019818593
in_apple_charts,0.008217989692968287,0.09065312842350388,0.040699208747069796,0.23838384557027903
in_spotify_charts,0.008415939907689147,0.09173843201019487,0.04287898601954944,0.22003847316938163
in_deezer_charts,0.008263847459060204,0.09090570641637523,0.04068744409043924,0.23413389920060323
artist_count,0.008400838563768897,0.09165608852536146,0.04141127468078278,0.22143801586935652
released_year,0.008264046938008578,0.09090680358481744,0.040884272811097515,0.23411541215021425
released_day,0.008265811787678027,0.0909165099840399,0.040878767907341976,0.23395185170920496
released_month,0.008174866266037317,0.09041496704659753,0.04115103331811733,0.24238038241348037
liveness_%,0.008252935862646615,0.0908456705773402,0.04084336251776882,0.2351451499334093
acousticness_%,0.00825192618601555,0.09084011330912985,0.04071213255458453,0.23523872343029828
danceability_%,0.008286809031869673,0.09103191216199774,0.04086594518270851,0.2320058964364029
speechiness_%,0.008252512431532485,0.0908433400505094,0.04106525114788967,0.23518439213118003
valence_%,0.008190977246811258,0.09050401784899528,0.04055821583950858,0.24088726990305231
instrumentalness_%,0.008244468857896148,0.09079905758264316,0.04068926280280299,0.23592984398128658
bpm,0.008176163752735529,0.09042214193844077,0.04044406378669777,0.24226013562972482
energy_%,0.008249241344003396,0.09082533426309752,0.04077034631829768,0.2354875457244292
in_shazam_charts,0.00836953997343499,0.09148518991309462,0.041839912128503486,0.22433866589445672
